기준일자,상품명,당일신규실행건수,당일신규실행금액(억원)
2019-03-01,일반상환학자금_생활비,2738,30
2019-03-01,취업후상환학자금_생활비,5332,50
2019-03-01,취업후상환학자금_등록금,3093,68
2019-03-01,일반상환학자금_등록금,3272,109
2019-03-02,취업후상환학자금_등록금,0,0
2019-03-02,일반상환학자금_생활비,0,0
2019-03-02,일반상환학자금_등록금,0,0
2019-03-02,취업후상환학자금_생활비,0,0
2019-03-03,취업후상환학자금_생활비,0,0
2019-03-03,취업후상환학자금_등록금,0,0
2019-03-03,일반상환학자금_등록금,0,0
2019-03-03,일반상환학자금_생활비,0,0
2019-03-04,취업후상환학자금_등록금,0,0
2019-03-04,일반상환학자금_생활비,0,0
2019-03-04,일반상환학자금_등록금,0,0
2019-03-04,취업후상환학자금_생활비,0,0
2019-03-05,취업후상환학자금_등록금,1572,36
2019-03-05,일반상환학자금_생활비,2797,27
2019-03-05,취업후상환학자금_생활비,6489,58
2019-03-05,일반상환학자금_등록금,1583,56
2019-03-06,취업후상환학자금_등록금,1269,30
2019-03-06,일반상환학자금_등록금,1733,61
2019-03-06,일반상환학자금_생활비,2368,25
2019-03-06,취업후상환학자금_생활비,4827,44
2019-03-07,일반상환학자금_생활비,2154,22
2019-03-07,취업후상환학자금_등록금,1364,32
2019-03-07,일반상환학자금_등록금,1826,63
2019-03-07,취업후상환학자금_생활비,3952,35
2019-03-08,일반상환학자금_생활비,1666,16
2019-03-08,취업후상환학자금_등록금,1014,24
2019-03-08,취업후상환학자금_생활비,3206,28
2019-03-08,일반상환학자금_등록금,1478,49
2019-03-09,일반상환학자금_생활비,1857,18
2019-03-09,일반상환학자금_등록금,1172,38
2019-03-09,취업후상환학자금_등록금,861,21
2019-03-09,취업후상환학자금_생활비,3556,29
2019-03-10,취업후상환학자금_등록금,0,0
2019-03-10,일반상환학자금_생활비,0,0
2019-03-10,일반상환학자금_등록금,0,0
2019-03-10,취업후상환학자금_생활비,0,0
2019-03-11,일반상환학자금_등록금,0,0
2019-03-11,취업후상환학자금_생활비,0,0
2019-03-11,취업후상환학자금_등록금,0,0
2019-03-11,일반상환학자금_생활비,0,0
2019-03-12,취업후상환학자금_등록금,847,21
2019-03-12,일반상환학자금_생활비,1930,19
2019-03-12,일반상환학자금_등록금,1024,35
2019-03-12,취업후상환학자금_생활비,3773,31
2019-03-13,취업후상환학자금_등록금,1034,24
2019-03-13,일반상환학자금_생활비,1639,16
2019-03-13,일반상환학자금_등록금,1142,37
2019-03-13,취업후상환학자금_생활비,2950,26
2019-03-14,일반상환학자금_등록금,1730,61
2019-03-14,일반상환학자금_생활비,1806,19
2019-03-14,취업후상환학자금_등록금,1222,28
2019-03-14,취업후상환학자금_생활비,2914,25
2019-03-15,일반상환학자금_생활비,1538,16
2019-03-15,취업후상환학자금_생활비,2564,22
2019-03-15,취업후상환학자금_등록금,1099,25
2019-03-15,일반상환학자금_등록금,1572,51
2019-03-16,취업후상환학자금_생활비,3197,26
2019-03-16,일반상환학자금_등록금,1575,52
2019-03-16,취업후상환학자금_등록금,1053,26
2019-03-16,일반상환학자금_생활비,1788,18
2019-03-17,취업후상환학자금_생활비,0,0
2019-03-17,취업후상환학자금_등록금,0,0
2019-03-17,일반상환학자금_생활비,0,0
2019-03-17,일반상환학자금_등록금,0,0
2019-03-18,취업후상환학자금_등록금,0,0
2019-03-18,취업후상환학자금_생활비,0,0
2019-03-18,일반상환학자금_생활비,0,0
2019-03-18,일반상환학자금_등록금,0,0
2019-03-19,일반상환학자금_등록금,745,24
2019-03-19,일반상환학자금_생활비,1588,14
2019-03-19,취업후상환학자금_등록금,693,17
2019-03-19,취업후상환학자금_생활비,2975,24
2019-03-20,일반상환학자금_등록금,627,19
2019-03-20,일반상환학자금_생활비,1305,12
2019-03-20,취업후상환학자금_등록금,582,14
2019-03-20,취업후상환학자금_생활비,2374,19
2019-03-21,취업후상환학자금_생활비,2341,19
2019-03-21,취업후상환학자금_등록금,741,18
2019-03-21,일반상환학자금_등록금,811,25
2019-03-21,일반상환학자금_생활비,1264,12
2019-03-22,일반상환학자금_등록금,628,18
2019-03-22,일반상환학자금_생활비,1120,10
2019-03-22,취업후상환학자금_등록금,537,12
2019-03-22,취업후상환학자금_생활비,2111,16
2019-03-23,취업후상환학자금_생활비,3119,25
2019-03-23,취업후상환학자금_등록금,853,24
2019-03-23,일반상환학자금_등록금,563,17
2019-03-23,일반상환학자금_생활비,1428,12
2019-03-24,취업후상환학자금_등록금,0,0
2019-03-24,일반상환학자금_생활비,0,0
2019-03-24,일반상환학자금_등록금,0,0
2019-03-24,취업후상환학자금_생활비,0,0
2019-03-25,취업후상환학자금_등록금,0,0
2019-03-25,일반상환학자금_생활비,0,0
2019-03-25,일반상환학자금_등록금,0,0
2019-03-25,취업후상환학자금_생활비,0,0
2019-03-26,취업후상환학자금_등록금,656,17
2019-03-26,일반상환학자금_생활비,1369,12
2019-03-26,일반상환학자금_등록금,482,15
2019-03-26,취업후상환학자금_생활비,2970,23
2019-03-27,일반상환학자금_등록금,456,14
2019-03-27,일반상환학자금_생활비,1045,10
2019-03-27,취업후상환학자금_등록금,619,16
2019-03-27,취업후상환학자금_생활비,2251,18
2019-03-28,일반상환학자금_등록금,552,17
2019-03-28,일반상환학자금_생활비,1005,9
2019-03-28,취업후상환학자금_생활비,2081,16
2019-03-28,취업후상환학자금_등록금,652,16
2019-03-29,취업후상환학자금_등록금,605,15
2019-03-29,일반상환학자금_등록금,494,15
2019-03-29,일반상환학자금_생활비,909,8
2019-03-29,취업후상환학자금_생활비,1824,14
2019-03-30,일반상환학자금_등록금,409,12
2019-03-30,일반상환학자금_생활비,1091,9
2019-03-30,취업후상환학자금_등록금,443,12
2019-03-30,취업후상환학자금_생활비,2340,17
2019-03-31,일반상환학자금_등록금,0,0
2019-03-31,일반상환학자금_생활비,0,0
2019-03-31,취업후상환학자금_등록금,0,0
2019-03-31,취업후상환학자금_생활비,0,0
2019-04-01,일반상환학자금_생활비,0,0
2019-04-01,취업후상환학자금_등록금,0,0
2019-04-01,취업후상환학자금_생활비,0,0
2019-04-01,일반상환학자금_등록금,0,0
2019-04-02,취업후상환학자금_생활비,2190,16
2019-04-02,일반상환학자금_등록금,173,5
2019-04-02,일반상환학자금_생활비,1030,9
2019-04-02,취업후상환학자금_등록금,220,6
2019-04-03,일반상환학자금_등록금,131,4
2019-04-03,일반상환학자금_생활비,836,7
2019-04-03,취업후상환학자금_생활비,1900,16
2019-04-03,취업후상환학자금_등록금,341,11
2019-04-04,취업후상환학자금_등록금,262,8
2019-04-04,취업후상환학자금_생활비,1601,12
2019-04-04,일반상환학자금_생활비,743,6
2019-04-04,일반상환학자금_등록금,144,4
2019-04-05,일반상환학자금_등록금,142,4
2019-04-05,일반상환학자금_생활비,733,6
2019-04-05,취업후상환학자금_생활비,1545,12
2019-04-05,취업후상환학자금_등록금,252,8
2019-04-06,일반상환학자금_등록금,133,4
2019-04-06,취업후상환학자금_등록금,258,8
2019-04-06,일반상환학자금_생활비,858,7
2019-04-06,취업후상환학자금_생활비,2027,15
2019-04-07,일반상환학자금_생활비,0,0
2019-04-07,취업후상환학자금_등록금,0,0
2019-04-07,취업후상환학자금_생활비,0,0
2019-04-07,일반상환학자금_등록금,0,0
2019-04-08,일반상환학자금_생활비,0,0
2019-04-08,일반상환학자금_등록금,0,0
2019-04-08,취업후상환학자금_생활비,0,0
2019-04-08,취업후상환학자금_등록금,0,0
2019-04-09,취업후상환학자금_생활비,1716,12
2019-04-09,취업후상환학자금_등록금,182,5
2019-04-09,일반상환학자금_등록금,118,4
2019-04-09,일반상환학자금_생활비,853,7
2019-04-10,취업후상환학자금_생활비,1413,11
2019-04-10,일반상환학자금_등록금,109,3
2019-04-10,일반상환학자금_생활비,687,6
2019-04-10,취업후상환학자금_등록금,173,5
2019-04-11,취업후상환학자금_등록금,180,5
2019-04-11,일반상환학자금_생활비,657,5
2019-04-11,일반상환학자금_등록금,119,4
2019-04-11,취업후상환학자금_생활비,1292,10
2019-04-12,일반상환학자금_등록금,91,3
2019-04-12,일반상환학자금_생활비,702,6
2019-04-12,취업후상환학자금_등록금,221,7
2019-04-12,취업후상환학자금_생활비,1407,12
2019-04-13,취업후상환학자금_등록금,261,8
2019-04-13,일반상환학자금_생활비,790,7
2019-04-13,일반상환학자금_등록금,134,4
2019-04-13,취업후상환학자금_생활비,1711,13
2019-04-14,일반상환학자금_등록금,0,0
2019-04-14,일반상환학자금_생활비,0,0
2019-04-14,취업후상환학자금_등록금,0,0
2019-04-14,취업후상환학자금_생활비,0,0
2019-04-15,일반상환학자금_등록금,0,0
2019-04-15,일반상환학자금_생활비,0,0
2019-04-15,취업후상환학자금_생활비,0,0
