"구분별","상태별","시점","인원[명]",
"남성","신규","2020. 04. 11","15",
"남성","신규","2020. 04. 12","14",
"남성","신규","2020. 04. 13","14",
"남성","신규","2020. 04. 14","13",
"남성","신규","2020. 04. 15","10",
"남성","신규","2020. 04. 16","6",
"남성","신규","2020. 04. 17","14",
"남성","신규","2020. 04. 18","7",
"남성","신규","2020. 04. 19","4",
"남성","신규","2020. 04. 20","5",
"남성","신규","2020. 04. 21","6",
"남성","신규","2020. 04. 22","6",
"남성","신규","2020. 04. 23","4",
"남성","신규","2020. 04. 24","5",
"남성","신규","2020. 04. 25","4",
"남성","신규","2020. 04. 26","6",
"남성","신규","2020. 04. 27","4",
"남성","신규","2020. 04. 28","7",
"남성","신규","2020. 04. 29","4",
"남성","신규","2020. 04. 30","4",
"남성","신규","2020. 05. 01","4",
"남성","신규","2020. 05. 02","6",
"남성","신규","2020. 05. 03","7",
"남성","신규","2020. 05. 04","6",
"남성","신규","2020. 05. 05","2",
"남성","신규","2020. 05. 06","2",
"남성","신규","2020. 05. 07","3",
"남성","신규","2020. 05. 08","7",
"남성","신규","2020. 05. 09","17",
"남성","신규","2020. 05. 10","24",
"남성","신규","2020. 05. 11","31",
"남성","신규","2020. 05. 12","20",
"남성","신규","2020. 05. 13","18",
"남성","신규","2020. 05. 14","17",
"남성","신규","2020. 05. 15","16",
"남성","신규","2020. 05. 16","12",
"남성","신규","2020. 05. 17","5",
"남성","신규","2020. 05. 18","11",
"남성","신규","2020. 05. 19","9",
"남성","신규","2020. 05. 20","23",
"남성","신규","2020. 05. 21","9",
"남성","신규","2020. 05. 23","",
"남성","신규","2020. 05. 24","15",
"남성","신규","2020. 05. 25","8",
"남성","신규","2020. 05. 26","13",
"남성","신규","2020. 05. 27","16",
"남성","신규","2020. 05. 28","47",
"남성","신규","2020. 05. 29","32",
"남성","신규","2020. 05. 30","21",
"남성","신규","2020. 05. 31","15",
"남성","신규","2020. 06. 02","",
"남성","신규","2020. 06. 03","23",
"남성","신규","2020. 06. 04","20",
"남성","신규","2020. 06. 05","21",
"남성","신규","2020. 06. 06","27",
"남성","신규","2020. 06. 07","30",
"남성","신규","2020. 06. 08","12",
"남성","신규","2020. 06. 09","18",
"남성","신규","2020. 06. 10","22",
"남성","신규","2020. 06. 11","28",
"남성","신규","2020. 06. 12","0",
"남성","신규","2020. 06. 13","51",
"남성","신규","2020. 06. 14","16",
"남성","신규","2020. 06. 16","",
"남성","신규","2020. 06. 17","18",
"남성","신규","2020. 06. 18","25",
"남성","신규","2020. 06. 19","25",
"남성","신규","2020. 06. 20","39",
"남성","신규","2020. 06. 21","25",
"남성","신규","2020. 06. 22","9",
"남성","신규","2020. 06. 23","35",
"남성","신규","2020. 06. 24","31",
"남성","신규","2020. 06. 25","15",
"남성","신규","2020. 06. 26","24",
"남성","신규","2020. 06. 27","28",
"남성","신규","2020. 06. 28","38",
"남성","신규","2020. 06. 29","20",
"남성","신규","2020. 06. 30","25",
"남성","신규","2020. 07. 01","0",
"남성","신규","2020. 07. 02","60",
"남성","신규","2020. 07. 03","32",
"남성","신규","2020. 07. 04","38",
"남성","신규","2020. 07. 05","32",
"남성","신규","2020. 07. 06","25",
"남성","신규","2020. 07. 07","21",
"남성","신규","2020. 07. 08","35",
"남성","신규","2020. 07. 09","28",
"남성","신규","2020. 07. 10","36",
"남성","신규","2020. 07. 11","22",
"남성","신규","2020. 07. 12","32",
"남성","신규","2020. 07. 13","39",
"남성","신규","2020. 07. 14","16",
"남성","신규","2020. 07. 15","33",
"남성","신규","2020. 07. 16","-33",
"남성","신규","2020. 07. 17","115",
"남성","신규","2020. 07. 18","23",
"남성","신규","2020. 07. 19","21",
"남성","신규","2020. 07. 20","19",
